,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,bodies bodies bodies,4,12,6,103
1,1,last night in soho,0,12,9,17
2,2,the munsters,4,16,15,9
3,3,orphan: first kill,10,0,12,95
4,4,resident evil: welcome to raccoon city,1,12,11,69
5,5,crimes of the future,0,12,11,29
6,6,men,0,15,12,54
7,7,morbius,1,5,12,85
8,8,day shift,1,6,15,105
9,9,malnazidos,1,5,15,275
10,10,watcher,0,12,6,11
11,11,orphan,8,10,6,0
12,12,midsommar,0,12,9,17
13,13,american psycho,10,0,12,95
14,14,old,0,12,9,17
15,15,scream,8,10,6,0
16,16,mad god,3,15,12,210
17,17,srpski film,8,10,6,0
18,18,get out,8,10,6,0
19,19,hellboy,1,5,15,275
20,20,the mist,8,11,6,431
21,21,overlord,1,12,11,69
22,22,fresh,4,12,6,103
23,23,hocus pocus 2,4,16,15,9
24,24,hereditary,0,12,9,17
25,25,spree,1,6,14,45
26,26,the mortal instruments: city of bones,1,5,15,275
27,27,resident evil,1,12,11,69
28,28,prey,1,0,12,121
29,29,it chapter two,0,15,12,54
30,30,the conjuring,8,10,6,0
31,31,scream 6,8,10,6,0
32,32,us,8,10,6,0
33,33,fear street: 1994,0,12,9,17
34,34,alien: covenant,8,11,6,431
35,35,the thing,8,10,11,14
36,36,the vvitch: a new-england folktale,0,15,12,54
37,37,annihilation,5,0,12,78
38,38,the deadly mantis,12,12,11,205
39,39,fear street: 1978,0,12,9,17
40,40,the shallows,1,0,12,121
41,41,beast,5,0,12,78
42,42,sinister,8,10,6,0
43,43,the cabin in the woods,8,10,6,0
44,44,a quiet place part ii,0,12,11,29
45,45,hocus pocus,4,16,15,9
46,46,the meg,1,12,11,69
47,47,the mummy,1,5,15,275
48,48,sweeney todd: the demon barber of fleet street,0,12,8,234
49,49,mother!,0,12,9,17
50,50,underwater,1,12,11,69
51,51,a quiet place,0,12,11,29
52,52,predator,1,5,12,85
53,53,the hunt,1,12,6,108
54,54,the lighthouse,0,15,12,54
55,55,lamb,0,15,12,54
56,56,firestarter,0,12,11,29
57,57,interview with the vampire: the vampire chronicles,0,15,12,54
58,58,resurrection,10,0,12,95
59,59,the empty man,8,10,6,0
60,60,suspiria,0,15,12,54
61,61,bone tomahawk,0,12,10,233
62,62,ready or not,1,6,12,75
63,63,from dusk till dawn,1,14,12,16
64,64,psycho,8,10,6,0
65,65,texas chainsaw massacre,10,12,6,126
66,66,de uskyldige,0,15,12,54
67,67,jeepers creepers: reborn,8,10,6,0
68,68,army of the dead,1,14,12,16
69,69,doctor sleep,0,15,12,54
70,70,brightburn,0,12,9,17
71,71,28 days later...,0,12,11,29
72,72,the night house,8,10,6,0
73,73,insidious,8,10,6,0
74,74,dracula,0,15,12,54
75,75,it follows,8,10,6,0
76,76,constantine,1,15,12,107
77,77,life,8,11,6,431
78,78,el hoyo,8,11,6,431
79,79,the invisible man,0,12,9,17
80,80,world war z,1,5,12,85
81,81,event horizon,8,11,6,431
82,82,the new mutants,1,12,9,173
83,83,10 cloverfield lane,0,12,9,17
84,84,busanhaeng,1,12,6,108
85,85,under the skin,0,12,9,17
86,86,malignant,10,12,9,118
87,87,what ever happened to baby jane?,0,12,6,11
88,88,saw,8,10,6,0
89,89,blade,1,12,11,69
90,90,the rocky horror picture show,4,12,8,194
91,91,the others,8,10,6,0
92,92,don't breathe,10,12,6,126
93,93,titane,0,12,11,29
94,94,the killing of a sacred deer,0,12,9,17
95,95,eight for silver,11,12,9,26
96,96,the poughkeepsie tapes,8,10,6,0
97,97,vivarium,8,10,11,14
98,98,the crow,1,14,0,269
99,99,hotel transylvania: transformania,3,5,3,2
100,100,escape room: tournament of champions,1,5,12,85
101,101,the conjuring: the devil made me do it,8,10,6,0
102,102,the descent,5,12,6,43
103,103,the craft,0,15,12,54
104,104,zombieland,1,6,12,75
105,105,they live,1,12,11,69
106,106,a cure for wellness,0,15,12,54
107,107,don't breathe 2,1,14,12,16
108,108,the rental,0,12,9,17
109,109,urban legend,8,10,6,0
110,110,the visit,8,10,6,0
111,111,spiral: from the book of saw,10,12,9,118
112,112,little shop of horrors,4,12,8,194
113,113,the fly,0,12,11,29
114,114,friday the 13th,8,10,6,0
115,115,47 meters down,5,0,12,78
116,116,antlers,0,12,9,17
117,117,vampires,1,12,6,108
118,118,jaws 2,5,12,6,43
119,119,escape room,1,5,12,85
120,120,gerald's game,0,12,6,11
121,121,the purge,8,11,6,431
122,122,la tua presenza nuda!,10,0,12,95
123,123,ang-ma-reul bo-at-da,1,14,0,269
124,124,resident evil: apocalypse,1,12,11,69
125,125,doom,1,12,11,69
126,126,mandy,1,15,12,107
127,127,the house that jack built,10,0,12,95
128,128,pitch black,1,12,11,69
129,129,climax,0,12,1,83
130,130,the conjuring 2,8,10,6,0
131,131,dark shadows,4,15,12,22
132,132,gremlins,4,15,12,22
133,133,marrowbone,5,0,12,78
134,134,glass,0,12,11,29
135,135,blair witch,8,10,6,0
136,136,evil dead rise,11,12,6,46
137,137,sleepy hollow,11,12,9,26
138,138,the mummy: tomb of the dragon emperor,1,15,12,107
139,139,cloverfield,1,12,11,69
140,140,the cloverfield paradox,1,12,11,69
141,141,choose or die,0,12,6,11
